9.59,10.97,6.74,5.39,8.60,10.48,7.63,7.12,14.57,7.00,7.42,12.88,5.27,7.09,12.64,11.91,12.70,13.42,7.61,6.61
11.25,13.55,13.77,9.97,14.52,6.08,12.61,6.67,11.25,9.95,14.49,8.17,12.90,8.25,13.26,9.74,6.69,9.33,6.67,12.62
14.24,5.63,6.52,7.04,8.56,7.25,9.67,9.05,11.73,7.95,12.79,8.07,12.21,12.10,11.32,6.70,13.94,5.52,5.70,9.06
6.15,14.94,11.08,6.90,13.46,10.31,7.72,6.75,5.94,9.58,10.50,6.98,5.02,11.76,5.39,14.14,6.67,14.19,14.02,8.80
11.27,13.59,9.75,5.86,6.48,6.68,11.97,14.33,13.99,13.82,8.54,11.45,10.17,5.16,7.75,6.76,7.79,7.94,8.16,11.35
7.14,14.17,7.55,13.65,10.50,8.89,6.27,5.47,11.80,5.63,10.40,11.97,5.97,5.47,5.93,6.63,10.26,14.49,9.94,10.10
7.69,8.33,12.76,11.43,13.48,13.84,12.19,14.03,7.44,12.54,10.83,10.42,10.80,14.02,10.83,11.47,9.89,8.35,9.70,9.35
10.06,9.08,12.83,6.29,8.23,5.77,12.07,12.40,6.11,12.49,12.02,12.04,5.57,6.37,8.13,14.26,6.53,14.42,11.18,13.20
8.02,5.73,8.98,13.84,11.78,10.71,8.50,7.63,12.41,13.95,7.69,6.44,10.53,5.50,9.10,9.87,10.49,7.35,13.75,7.60
14.40,10.53,12.65,14.54,6.07,8.87,14.82,8.53,6.73,9.23,14.81,14.81,7.36,7.00,6.73,7.71,6.51,11.38,14.56,11.96
7.09,7.50,13.97,14.63,6.46,14.40,8.73,13.25,13.17,6.95,8.21,14.28,8.42,8.00,8.84,5.88,9.43,5.20,11.19,8.09
14.34,5.30,11.35,8.68,9.75,11.27,12.69,5.19,9.29,7.82,14.68,13.15,9.53,7.90,6.65,10.70,5.40,10.71,10.15,7.24
8.17,6.74,5.25,15.00,12.64,14.26,14.83,9.74,13.05,14.72,6.44,5.79,6.50,7.97,13.42,8.74,8.11,11.72,7.78,6.42
